city,state,pet_id,name,breed
Andover,MA,48752074,Jade,Redbone Coonhound
New York,NY,48752069,Wish,Labrador Retriever
TULSA,OK,48752062,Molly,Shiba Inu
White Plains,NY,48751967,Brindi,Retriever
Wasco,CA,48751842,(FRECKLES) AVAILABLE AUG 24 2020,Greyhound
Albuquerque,NM,48752073,Posole,Pit Bull Terrier
Corpus Christi,TX,48752072,Alyx,Catahoula Leopard Dog
Andover,MA,48752050,Jackson,Redbone Coonhound
Columbus,OH,48752065,Bacon,Chihuahua
Columbus,OH,48752066,Handsome,Pit Bull Terrier
Columbus,OH,48752067,Anya,Pit Bull Terrier
Columbus,OH,48752068,Gidget,Pit Bull Terrier
Columbus,OH,48752064,Puck,Mixed Breed
Los Angeles,CA,48751918,Tikka the Terrier!,Terrier
New York,NY,48752060,Wonder,Labrador Retriever
TULSA,OK,48752053,Kiara,Shiba Inu
TULSA,OK,48752044,Betty the Bully,Pit Bull Terrier
TULSA,OK,48752013,Swift,Jack Russell Terrier
Des Peres,MO,48751605,Rey,Pit Bull Terrier
Reston,VA,48751920,Nifty Nikki,Cocker Spaniel
New York,NY,48752027,TALLIE,Pit Bull Terrier
Houston,TX,48752021,FITZ,Beagle
Wenatchee,WA,48752020,Chico,Chihuahua
Greenville,SC,48752012,Tre,Shepherd
Longview,TX,48752008,Cotton Candy,Labrador Retriever
Bowling Green,KY,48752006,Benjamin,Bloodhound
Fairport,NY,48751996,Coco,Poodle
Noblesville,IN,48751991,Rosie,Beagle
Chamblee,GA,48751980,Ozzie,Mixed Breed
Chamblee,GA,48751981,Bruno Mars,Mixed Breed
Santa Maria,CA,48751977,Gunner,West Highland White Terrier
Largo,FL,48751976,Humphrey,Hound
TULSA,OK,48751954,Stella,Hound
Rifle,CO,48751950,Hazel,Cattle Dog
Gretna,NE,48751965,Ellen (Battlestar Galactica Litter),German Shepherd Dog
Gretna,NE,48751964,Boomer (Battlestar Galactica Litter) *PENDING*,German Shepherd Dog
Cedaredge,CO,48751962,Rudy,Boxer
Turlock,CA,48751886,Clyde,Manchester Terrier
Brookville,OH,48751916,Harley,Great Dane
Bishop,GA,48751919,Tiana,Pit Bull Terrier
Chicago,IL,48751914,Rocco,Terrier
Houston,TX,48751941,Juliet,Labrador Retriever
Lawrenceville,GA,48751938,Lexington,Labrador Retriever
Brewster,NY,48751917,Lila,Chihuahua
El Paso,TX,48751936,45275117,Boxer
El Paso,TX,48751937,45275094,Boxer
Richmond,VA,48751930,Daffodil,Hound
Richmond,VA,48751931,High Hat,Hound
Chino Hills,CA,48751922,Boone - Chino Hills Location,Foxhound
Waukesha,WI,48751928,Silver,Mixed Breed
Chino Hills,CA,48751924,Nostradamus - Chino Hills Location,Chihuahua
